Computer_Name,Software_Name,Software_Version,Software_Installed_Date
MXNL002W0038,Trend Micro OfficeScan Agent,12.0.1988,20191211
MXNL002W0039,Trend Micro OfficeScan Agent,12.0.1988,
MXNL002W0039,Trend Micro OfficeScan Agent,12.0.1988,20191018
MXNL002W0041,Trend Micro OfficeScan Agent,12.0.1988,
MXNL002W0041,Trend Micro OfficeScan Agent,12.0.1988,20191120
MXNL002W0042,Trend Micro OfficeScan Agent,12.0.1988,
MXNL002W0042,Trend Micro OfficeScan Agent,12.0.1988,20191018
MXNL002W0043,Trend Micro OfficeScan Agent,12.0.1988,
MXNL002W0043,Trend Micro OfficeScan Agent,12.0.1988,20200401
MXNL002W0044,Trend Micro OfficeScan Agent,12.0.1988,
MXNL002W0044,Trend Micro OfficeScan Agent,12.0.1988,20191018
MXNL002W0045,Trend Micro OfficeScan Agent,12.0.1988,
MXNL002W0045,Trend Micro OfficeScan Agent,12.0.1988,20200113
MXNL002W0046,Trend Micro OfficeScan Agent,12.0.1988,
MXNL002W0046,Trend Micro OfficeScan Agent,12.0.1988,20191018
MXNL002W0047,Trend Micro OfficeScan Agent,12.0.1988,
MXNL002W0047,Trend Micro OfficeScan Agent,12.0.1988,20200123
MXNL002W0049,Trend Micro OfficeScan Agent,12.0.1988,
